Voltage	Current
-2.0	-3.018056e-08
-1.9	-7.646657e-09
-1.8	-2.927372e-08
-1.7	-2.63948e-08
-1.6	-6.972737e-08
-1.5	-6.352227e-08
-1.4	-3.90955e-08
-1.3	-2.912388e-08
-1.2	-2.008446e-08
-1.1	-7.564255e-09
-1.0	1.278318e-08
-0.9	2.941929e-08
-0.8	3.659595e-08
-0.7	5.955203e-09
-0.6	1.096405e-08
-0.5	-8.157399e-10
-0.4	-4.047789e-08
-0.3	-3.749221e-08
-0.2	1.28262e-08
-0.1	-5.178958e-09
0.0	-3.203466e-08
0.1	1.227636e-08
0.2	3.338105e-08
0.3	-3.30224e-08
0.4	-2.312595e-08
0.5	1.806076e-08
0.6	6.624866e-08
0.7	2.898964e-08
0.8	4.729137e-08
0.9	4.024264e-08
1.0	1.593612e-07
1.1	1.71553e-06
1.2	1.036998e-05
1.3	5.436991e-05
1.4	0.0002021374
1.5	0.0004990564
1.6	0.0009571794
1.7	0.001570743
1.8	0.002313913
1.9	0.003163055
2.0	0.004088679
