Run Objective I0 n Rs Rsh Offset
0 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
1 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
2 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
3 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
4 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
5 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
6 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
7 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
8 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
9 7.858e-02 5.956e-08 1.196e+00 2.113e+01 1.439e+05 8.261e-04
