Run Objective I0 n Rs Rsh Offset
0 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
1 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
2 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
3 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
4 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
5 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
6 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
7 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
8 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
9 7.467e-02 3.836e-08 1.197e+00 1.891e+01 1.460e+05 7.945e-04
