Run Objective I0 n Rs Rsh Offset
0 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
1 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
2 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
3 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
4 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
5 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
6 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
7 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
8 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
9 8.228e-02 1.515e-07 1.230e+00 2.018e+01 1.445e+05 1.605e-03
