Run Objective I0 n Rs Rsh Offset
0 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
1 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
2 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
3 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
4 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
5 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
6 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
7 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
8 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
9 7.794e-02 5.896e-08 1.202e+00 2.035e+01 1.445e+05 5.970e-04
