Run Objective I0 n Rs Rsh Offset
0 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
1 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
2 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
3 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
4 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
5 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
6 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
7 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
8 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
9 8.034e-02 1.077e-07 1.212e+00 1.965e+01 1.454e+05 1.213e-03
