Run Objective I0 n Rs Rsh Offset
0 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
1 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
2 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
3 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
4 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
5 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
6 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
7 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
8 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
9 7.971e-02 6.632e-08 1.202e+00 2.081e+01 1.442e+05 7.608e-04
