Run Objective I0 n Rs Rsh Offset
0 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
1 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
2 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
3 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
4 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
5 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
6 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
7 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
8 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
9 1.961e-01 6.079e-11 1.524e+00 2.025e+01 4.934e+06 -3.405e-02
