Run Objective I0 n Rs Rsh Offset
0 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
1 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
2 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
3 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
4 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
5 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
6 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
7 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
8 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
9 7.675e-02 5.302e-08 1.198e+00 1.995e+01 1.450e+05 3.774e-04
