Run Objective I0 n Rs Rsh Offset
0 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
1 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
2 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
3 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
4 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
5 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
6 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
7 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
8 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
9 8.172e-02 1.241e-07 1.219e+00 1.990e+01 1.450e+05 1.473e-03
