Run Objective I0 n Rs Rsh Offset
0 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
1 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
2 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
3 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
4 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
5 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
6 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
7 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
8 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
9 8.108e-02 1.374e-07 1.224e+00 1.976e+01 1.444e+05 1.575e-03
