Run Objective I0 n Rs Rsh Offset
0 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
1 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
2 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
3 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
4 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
5 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
6 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
7 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
8 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
9 7.906e-02 6.340e-08 1.199e+00 2.075e+01 1.437e+05 7.399e-04
